NAMESPACE        PODNAME                                                      CONTAINER                        PULL          IMAGE                                                                         TAG
kube-system      ebs-csi-node-bhnkt                                           ebs-plugin                       IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/aws-ebs-csi-driver           v1.48.0
kube-system      ebs-csi-node-bhnkt                                           node-driver-registrar            IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/csi-node-driver-registrar    v2.14.0-eksbuild.5
kube-system      ebs-csi-node-bhnkt                                           liveness-probe                   IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/livenessprobe                v2.16.0-eksbuild.5
kube-system      ebs-csi-node-grhdd                                           ebs-plugin                       IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/aws-ebs-csi-driver           v1.48.0
kube-system      ebs-csi-node-grhdd                                           node-driver-registrar            IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/csi-node-driver-registrar    v2.14.0-eksbuild.5
kube-system      ebs-csi-node-grhdd                                           liveness-probe                   IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/livenessprobe                v2.16.0-eksbuild.5
kube-system      eks-pod-identity-agent-98k4p                                 eks-pod-identity-agent-init      Always        602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/eks-pod-identity-agent       v0.1.31
kube-system      eks-pod-identity-agent-98k4p                                 eks-pod-identity-agent           Always        602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/eks-pod-identity-agent       v0.1.31
kube-system      eks-pod-identity-agent-rldzm                                 eks-pod-identity-agent-init      Always        602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/eks-pod-identity-agent       v0.1.31
kube-system      eks-pod-identity-agent-rldzm                                 eks-pod-identity-agent           Always        602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/eks-pod-identity-agent       v0.1.31
kube-system      eks-pod-identity-agent-rrmpv                                 eks-pod-identity-agent-init      Always        602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/eks-pod-identity-agent       v0.1.31
kube-system      eks-pod-identity-agent-rrmpv                                 eks-pod-identity-agent           Always        602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/eks-pod-identity-agent       v0.1.31
kube-system      eks-pod-identity-agent-z88s5                                 eks-pod-identity-agent-init      Always        602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/eks-pod-identity-agent       v0.1.31
kube-system      eks-pod-identity-agent-z88s5                                 eks-pod-identity-agent           Always        602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/eks-pod-identity-agent       v0.1.31
kube-system      kube-proxy-j4px4                                             kube-proxy                       IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/kube-proxy                   v1.33.3-eksbuild.4
kube-system      kube-proxy-mv5hk                                             kube-proxy                       IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/kube-proxy                   v1.33.3-eksbuild.4
kube-system      kube-proxy-sv4kl                                             kube-proxy                       IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/kube-proxy                   v1.33.3-eksbuild.4
kube-system      kube-proxy-t7kpm                                             kube-proxy                       IfNotPresent  602401143452.dkr.ecr.us-west-2.amazonaws.com/eks/kube-proxy                   v1.33.3-eksbuild.4
